买家用户名,客户标签,运营建议,净消费额(Net LTV),总流水(Gross),订单数(1Y),退货率(1Y),最近购买(天前),客单价(Net AOV)
tryzubllp,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,120.99,120.99,1,0.0%,285,120.99
arosario.r,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,120.95,120.95,2,0.0%,332,60.48
marcealiaga,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,120.94,120.94,2,0.0%,144,60.47
wesstric_47,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,120.63,120.63,1,0.0%,144,120.63
jmass1142012,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,120.62,120.62,1,0.0%,275,120.62
montebegmayr,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,120.45,120.45,1,0.0%,278,120.45
up-169,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,120.45,120.45,1,0.0%,261,120.45
sprint_1461,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,120.25,120.25,2,0.0%,19,60.12
mercedesbenzml430,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,120.16,120.16,2,0.0%,75,60.08
osre_7962,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,120.11,120.11,2,0.0%,79,60.06
is_31149,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,119.99,119.99,1,0.0%,295,119.99
gc46p-96,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,119.99,119.99,1,0.0%,281,119.99
us_hazi,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,119.99,119.99,1,0.0%,276,119.99
starh_62557,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,119.99,119.99,1,0.0%,262,119.99
juru_9536,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,119.99,119.99,1,0.0%,278,119.99
alrpr_0,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,119.98,119.98,1,0.0%,86,119.98
the.autohaus,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,119.98,119.98,1,0.0%,98,119.98
mayco-pa2014,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,119.98,119.98,1,0.0%,143,119.98
artuynokya0,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,119.98,119.98,1,0.0%,353,119.98
scbre_9,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,119.98,119.98,2,0.0%,205,59.99
jonava-48,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,119.98,119.98,2,0.0%,138,59.99
relhoss,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,119.98,119.98,2,0.0%,63,59.99
bo_240183,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率33%，实际净值仅$119.97。,119.97,119.97,2,33.3%,58,59.98
jamesfg619,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率33%，实际净值仅$119.97。,119.97,119.97,2,33.3%,94,59.98
arval-9980,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,119.94,119.94,2,0.0%,149,59.97
mint.chris,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,119.91,119.91,2,0.0%,47,59.95
softvnzla,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,119.82,119.82,1,0.0%,257,119.82
tobyg2207,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,119.79,119.79,1,0.0%,339,119.79
b.brown8495,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,119.79,119.79,1,0.0%,343,119.79
mdut6962,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,119.79,119.79,1,0.0%,358,119.79
chriga-1746,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,119.79,119.79,1,0.0%,306,119.79
anch_9877,[WHALE] 超级鲸鱼 | [NEW] 新客户,VVIP客户: 净贡献极高，需专项维护防止流失。 首单客户: 关注购后体验，争取二次转化。,119.68,119.68,1,0.0%,20,119.68
ot-42670,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,119.49,119.49,1,0.0%,291,119.49
bionick_breadboy,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,119.49,119.49,1,0.0%,65,119.49
jonalax_0,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,119.49,119.49,1,0.0%,84,119.49
cca_cab_6mkbnoygep,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,119.49,119.49,1,0.0%,302,119.49
eveva_76,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,119.49,119.49,1,0.0%,303,119.49
jolo_6784,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,119.49,119.49,1,0.0%,120,119.49
deam.-59,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,119.49,119.49,1,0.0%,304,119.49
raabreu7777,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,119.49,119.49,1,0.0%,90,119.49
victocastr_32,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,119.49,119.49,1,0.0%,67,119.49
dg00-60,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,119.49,119.49,1,0.0%,302,119.49
1topsel-38,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,119.49,119.49,1,0.0%,256,119.49
felixr407,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,119.49,119.49,1,0.0%,95,119.49
deohol_9,[WHALE] 超级鲸鱼 | [NEW] 新客户,VVIP客户: 净贡献极高，需专项维护防止流失。 首单客户: 关注购后体验，争取二次转化。,119.45,119.45,1,0.0%,14,119.45
22strapz,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,119.45,119.45,1,0.0%,57,119.45
ancasi8223,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,119.45,119.45,1,0.0%,131,119.45
damiohenr_0,[WHALE] 超级鲸鱼 | [NEW] 新客户,VVIP客户: 净贡献极高，需专项维护防止流失。 首单客户: 关注购后体验，争取二次转化。,119.45,119.45,1,0.0%,4,119.45
alfmaldo,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,119.45,119.45,1,0.0%,132,119.45
larchambiz,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,119.41,119.41,5,0.0%,28,23.88
johnp_adams,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,119.29,119.29,1,0.0%,193,119.29
nickru-30,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,119.29,119.29,1,0.0%,240,119.29
sahas4515,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,119.29,119.29,1,0.0%,31,119.29
natre-3550,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,119.29,119.29,1,0.0%,195,119.29
puls-4632,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,119.29,119.29,1,0.0%,154,119.29
protech1914,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,119.29,119.29,1,0.0%,189,119.29
lubar-6992,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,119.29,119.29,1,0.0%,252,119.29
m_c_5789,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,119.21,119.21,1,0.0%,135,119.21
axgodi_0,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,118.99,118.99,1,0.0%,260,118.99
fahbeg-0,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,118.99,118.99,1,0.0%,172,118.99
787luisito24,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,118.98,118.98,2,0.0%,259,59.49
mauandr_80,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率33%，实际净值仅$118.97。,118.97,118.97,2,33.3%,308,59.48
zrog1356,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,118.95,118.95,1,0.0%,266,118.95
andkoo-0,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,118.95,118.95,1,0.0%,271,118.95
georgepati0,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,118.95,118.95,1,0.0%,264,118.95
murmurphtin,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,118.94,118.94,2,0.0%,201,59.47
domda1777,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率33%，实际净值仅$118.91。,118.91,118.91,2,33.3%,11,59.45
cr.vgo,[NEW] 新客户,首单客户: 关注购后体验，争取二次转化。,118.66,118.66,1,50.0%,24,118.66
erwil-7884,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,118.49,118.49,1,0.0%,245,118.49
co_32487,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,118.49,118.49,1,0.0%,233,118.49
hamway59,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,118.49,118.49,1,0.0%,251,118.49
uveenp,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,118.49,118.49,1,0.0%,262,118.49
arclightusmc37,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,118.49,118.49,1,0.0%,239,118.49
vapan86,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,118.49,118.49,1,0.0%,247,118.49
extreme_customs_llc,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,118.46,118.46,1,0.0%,332,118.46
garag-8941,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,118.41,118.41,4,0.0%,39,29.6
atri2127,[WHALE] 超级鲸鱼 | [NEW] 新客户,VVIP客户: 净贡献极高，需专项维护防止流失。 首单客户: 关注购后体验，争取二次转化。,118.2,118.2,1,0.0%,1,118.2
tythatguy,[WHALE] 超级鲸鱼 | [NEW] 新客户,VVIP客户: 净贡献极高，需专项维护防止流失。 首单客户: 关注购后体验，争取二次转化。,118.2,118.2,1,0.0%,14,118.2
roman_kirsanenko,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,118.2,118.2,2,0.0%,21,59.1
junitmuno_0,[WHALE] 超级鲸鱼 | [NEW] 新客户,VVIP客户: 净贡献极高，需专项维护防止流失。 首单客户: 关注购后体验，争取二次转化。,118.2,118.2,1,0.0%,2,118.2
mcreynolds01,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,118.2,118.2,1,0.0%,38,118.2
jasmr7387-eutsjvl,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,118.12,118.12,1,0.0%,86,118.12
mayitoxxx,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,118.0,118.0,2,0.0%,65,59.0
7amoodeno,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,117.98,117.98,2,0.0%,119,58.99
xujf7838,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,117.78,117.78,1,0.0%,52,117.78
sole-56691,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,117.68,117.68,2,0.0%,200,58.84
raesp-87,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,117.54,117.54,1,0.0%,52,117.54
tuneda487,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,117.48,117.48,1,0.0%,112,117.48
elkeyk88,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,117.41,117.41,2,0.0%,70,58.7
tango508,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,117.31,117.31,1,0.0%,161,117.31
anmart1649,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,117.31,117.31,2,0.0%,172,58.66
d.nbmotosv,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,117.31,117.31,1,0.0%,72,117.31
georgphillip-52,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,117.31,117.31,1,0.0%,160,117.31
hamzaalmakra-0,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,117.31,117.31,1,0.0%,71,117.31
maitor_49,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,117.31,117.31,2,0.0%,181,58.66
alekdu44,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,117.31,117.31,2,0.0%,48,58.66
karkichi07,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,117.24,117.24,2,0.0%,164,58.62
new-name--income,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,117.18,117.18,2,0.0%,200,58.59
seph-1115,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,117.18,117.18,2,0.0%,176,58.59
a_betterdeals,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率33%，实际净值仅$116.99。,116.99,116.99,2,33.3%,100,58.5
sjeshoc-46,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,116.98,116.98,2,0.0%,107,58.49
brajoh-3413,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,116.97,116.97,3,0.0%,226,38.99
chpar_1176,[SERIAL-RETURN] 惯性退货,利润杀手: 退货率33%，实际净值仅$116.97。,116.97,116.97,2,33.3%,229,58.48
bgdog3523,[WHALE] 超级鲸鱼 | [NEW] 新客户,VVIP客户: 净贡献极高，需专项维护防止流失。 首单客户: 关注购后体验，争取二次转化。,116.94,116.94,1,0.0%,29,116.94
razuman,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,116.84,116.84,1,0.0%,61,116.84
bimmerhead-e36,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,116.48,116.48,1,0.0%,47,116.48
tzosach_0,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,116.39,116.39,2,0.0%,174,58.2
autodesigns,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,116.36,116.36,1,0.0%,151,116.36
majerusj,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,116.34,116.34,2,0.0%,97,58.17
jblandford21,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,116.08,116.08,1,0.0%,124,116.08
cauru27,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,115.99,115.99,1,0.0%,288,115.99
jasho7316,[WHALE] 超级鲸鱼 | [NEW] 新客户,VVIP客户: 净贡献极高，需专项维护防止流失。 首单客户: 关注购后体验，争取二次转化。,115.99,115.99,1,0.0%,12,115.99
yasan9499,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,115.99,115.99,1,0.0%,122,115.99
minima.-87,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,115.99,115.99,1,0.0%,288,115.99
ksidh001,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,115.99,115.99,1,0.0%,123,115.99
bravchri,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,115.98,115.98,1,0.0%,261,115.98
raced_9772,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,115.98,115.98,2,0.0%,171,57.99
zulmon33,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,115.9,115.9,2,0.0%,317,57.95
kilocoolin1,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,115.61,115.61,2,0.0%,306,57.8
bargob-18,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,115.56,115.56,1,0.0%,80,115.56
jeffreyipg06,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,115.48,115.48,2,0.0%,113,57.74
bandido117,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,115.48,115.48,1,0.0%,251,115.48
chaeno42,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,115.48,115.48,1,0.0%,165,115.48
erikkbernal,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,115.48,115.48,1,0.0%,255,115.48
ronniek808,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,115.48,115.48,2,0.0%,90,57.74
larrypagano,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,115.41,115.41,2,0.0%,202,57.7
kevinn82,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,115.41,115.41,1,0.0%,175,115.41
mywafflez,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,115.41,115.41,2,0.0%,73,57.7
hairshoptop100,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,115.41,115.41,1,0.0%,185,115.41
johvoelke0,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,115.41,115.41,1,0.0%,148,115.41
mikeskimask@hotmail.com,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,115.41,115.41,1,0.0%,47,115.41
gt-estev,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,115.41,115.41,1,0.0%,80,115.41
jmarenas1,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,115.41,115.41,1,0.0%,47,115.41
victmil2231,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,115.41,115.41,1,0.0%,168,115.41
kostiha_12,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,115.41,115.41,2,0.0%,51,57.7
papalopes1,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,115.41,115.41,1,0.0%,210,115.41
el-jefe-2000,[WHALE] 超级鲸鱼 | [LOYAL] 忠诚客户,VVIP客户: 净贡献极高，需专项维护防止流失。 复购良好: 年内2次以上购买，适合新品推荐。,115.41,115.41,2,0.0%,178,57.7
8821chris,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,115.41,115.41,1,0.0%,135,115.41
markenture,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,115.41,115.41,1,0.0%,127,115.41
ja-3451745,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,115.41,115.41,1,0.0%,40,115.41
berg56621,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,115.41,115.41,1,0.0%,142,115.41
letz_go,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,115.41,115.41,1,0.0%,43,115.41
jabu661491,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,115.41,115.41,1,0.0%,200,115.41
rona.medi,[WHALE] 超级鲸鱼 | [DORMANT] 沉睡大客户,VVIP客户: 净贡献极高，需专项维护防止流失。 流失预警: 优质客户超半年未回购，建议邮件召回。,115.26,115.26,2,0.0%,204,57.63
de4186,[WHALE] 超级鲸鱼,VVIP客户: 净贡献极高，需专项维护防止流失。,115.26,115.26,1,0.0%,176,115.26
